ActualPosition,TargetPosition,ActualVelocity,TargetVelocity,TargetAcceleration,PositionError
-32.563477,21.660001,868.967778,2.34,-2.34,-54.223478
-30.679321,24.000001,1008.876512,0,3.735,-54.679322
-30.679321,24.000001,1008.876512,3.735,-1.095,-54.679322
-27.410889,27.735001,1220.003849,2.64,0.12,-55.14589
-24.938965,30.375001,1352.910723,2.76,1.605,-55.313966
-22.225342,33.135001,1479.617976,4.365,-1.305,-55.360343
-17.704468,37.500001,1657.08295,3.06,0.12,-55.204469
-14.408569,40.560001,1772.061452,3.18,-3.18,-54.96857
-10.914917,43.740001,1879.071981,0,4.995,-54.654918
-10.914917,43.740001,1879.071981,4.995,-1.515,-54.654918
-5.361328,48.735001,2013.840683,3.48,0.12,-54.096329
-1.461182,52.215001,2086.191386,3.6,2.025,-53.676183
2.554321,55.815001,2142.686924,5.625,-1.725,-53.26068
8.761597,61.440001,2196.8571,3.9,0.12,-52.678404
12.96936,65.340001,2215.810632,4.02,-4.02,-52.370641
17.243042,69.360001,2225.038801,0,6.255,-52.116959
17.243042,69.360001,2225.038801,6.255,-1.935,-52.116959
23.735962,75.615001,2230.51177,4.32,0.12,-51.879039
28.097534,79.935001,2234.35583,4.44,2.445,-51.837467
32.486572,84.375001,2236.416536,6.885,-2.145,-51.888429
39.127808,91.260001,2244.069845,4.74,0.12,-52.132193
43.59375,96.000001,2250.788584,4.86,-4.86,-52.406251
48.098145,100.860001,2262.948749,0,7.515,-52.761856
48.098145,100.860001,2262.948749,7.515,-2.355,-52.761856
54.970093,108.375001,2300.161666,5.16,0.12,-53.404908
59.61731,113.535001,2331.761593,5.28,2.865,-53.917691
64.390869,118.815001,2378.385592,8.145,-2.565,-54.424132
71.729736,126.960001,2471.270842,5.58,0.12,-55.230265
76.78894,132.540001,2544.44071,5.7,-5.7,-55.751061
81.963501,138.240001,2618.909243,0,8.775,-56.2765
81.963501,138.240001,2618.909243,8.775,-2.775,-56.2765
90.010986,147.015001,2740.490889,6,0.12,-57.004015
95.586548,153.015001,2827.005531,6.12,3.285,-57.428453
101.315918,159.135001,2920.671671,9.405,-2.985,-57.819083
110.297241,168.540001,3074.898984,6.42,0.12,-58.24276
116.531982,174.960001,3181.670822,6.54,-6.54,-58.428019
122.958984,181.500001,3291.217323,0,10.035,-58.541017
122.958984,181.500001,3291.217323,10.035,-3.195,-58.541017
132.989502,191.535001,3457.368033,6.84,0.12,-58.545499
139.910889,198.375001,3562.513271,6.96,3.705,-58.464112
147.046509,205.335001,3666.581418,10.665,-3.405,-58.288492
158.109741,216.000001,3814.593916,7.26,0.12,-57.89026
165.706787,223.260001,3906.57441,7.38,-7.38,-57.553214
173.468628,230.640001,3993.678758,0,11.295,-57.171373
173.468628,230.640001,3993.678758,11.295,-3.615,-57.171373
185.333862,241.935001,4094.951854,7.68,0.12,-56.601139
193.40332,249.615001,4142.550044,7.8,4.125,-56.211681
201.522217,257.415001,4175.434016,11.925,-3.825,-55.892784
213.799438,269.340001,4195.636974,8.1,0.12,-55.540563
222.000732,277.440001,4188.365071,8.22,-8.22,-55.439269
230.163574,285.660001,4165.794052,0,12.555,-55.496427
230.163574,285.660001,4165.794052,12.555,-4.035,-55.496427
242.358398,298.215001,4108.113906,8.52,0.12,-55.856603
250.422363,306.735001,4061.197361,8.64,4.545,-56.312638
258.425903,315.375001,4015.050167,13.185,-4.245,-56.949098
270.390015,328.560001,3962.329255,8.94,0.12,-58.169986
278.31665,337.500001,3936.63525,9.06,-9.06,-59.183351
286.265259,346.560001,3928.437433,0,13.815,-60.294742
286.265259,346.560001,3928.437433,13.815,-4.455,-60.294742
298.196411,360.375001,3941.492738,9.36,0.12,-62.17859
306.216431,369.735001,3970.104506,9.48,4.965,-63.51857
314.34082,379.215001,4019.094451,14.445,-4.665,-64.874181
326.733398,393.660001,4124.538967,9.78,0.12,-66.926603
335.198364,403.440001,4215.461218,9.9,-9.9,-68.241637
343.844604,413.340001,4325.815153,0,15.075,-69.495397
343.844604,413.340001,4325.815153,15.075,-4.875,-69.495397
357.198486,428.415001,4508.917352,10.2,0.12,-71.216515
366.405029,438.615001,4643.934747,10.32,5.385,-72.209972
375.842285,448.935001,4784.89903,15.705,-5.085,-73.092716
390.470581,464.640001,4999.271489,10.62,0.12,-74.16942
400.561523,475.260001,5143.769208,10.74,-10.74,-74.698478
410.883179,486.000001,5281.599926,0,16.335,-75.116822
410.883179,486.000001,5281.599926,16.335,-5.295,-75.116822
426.73645,502.335001,5459.489197,11.04,0.12,-75.598551
437.492065,513.375001,5545.192943,11.16,5.805,-75.882936
448.374023,524.535001,5602.990992,16.965,-5.505,-76.160978
464.782104,541.500001,5629.176613,11.46,0.12,-76.717897
475.718994,552.960001,5609.580096,11.58,-11.58,-77.241007
486.628418,564.540001,5565.638438,0,17.595,-77.911583
486.628418,564.540001,5565.638438,17.595,-5.715,-77.911583
502.910156,582.135001,5481.565139,11.88,0.12,-79.224845
513.693237,594.015001,5419.702033,12,6.225,-80.321764
524.360962,606.015001,5357.220946,18.225,-5.925,-81.654039
540.274658,624.240001,5275.251821,12.3,0.12,-83.965343
550.799561,636.540001,5229.916292,12.42,-12.42,-85.74044
561.296997,648.960001,5196.529356,0,18.855,-87.663004
561.296997,648.960001,5196.529356,18.855,-6.135,-87.663004
577.051392,667.815001,5188.176131,12.72,0.12,-90.763609
587.669678,680.535001,5223.024256,12.84,6.645,-92.865323
598.4198,693.375001,5292.193116,19.485,-6.345,-94.955201
614.904785,712.860001,5468.371159,13.14,0.12,-97.955216
626.209717,726.000001,5621.746031,13.26,-13.26,-99.790284
637.816772,739.260001,5798.448194,0,20.115,-101.443229
637.816772,739.260001,5798.448194,20.115,-6.555,-101.443229
655.795898,759.375001,6092.176678,13.56,0.12,-103.579103
668.166504,772.935001,6287.166307,13.68,7.065,-104.768497
680.921631,786.615001,6483.505377,20.745,-6.765,-105.69337
700.708008,807.360001,6776.339683,13.98,0.12,-106.651993
714.325562,821.340001,6967.601231,14.1,-14.1,-107.014439
728.300171,835.440001,7154.750792,0,21.375,-107.13983
728.300171,835.440001,7154.750792,21.375,-6.975,-107.13983
