Time(sec)	Motor[9].ActPos	Motor[9].DesPos	Motor[9].iqcmd	Time(sec)	Motor[9] Act Position	Motor[9] Cmd Position	Motor[9] Act Velocity	Motor[9] Cmd Velocity	Motor[9] Act Acceleration	Motor[9] Cmd Acceleration	Motor[9] Following Error	Motor[9] Servo Cmd Out	
823658808 	300000.004078802 	300000 	24.443691 	823658808 	300000.004078802 	300000 	-0.572204997297376 	0 	-228.881952352822 	0 	-0.00407880160491914 	24.443691 	
823658818 	300000.003392156 	300000 	25.008692 	823658818 	300000.003392156 	300000 	-0.930786802200601 	0 	-488.281715661287 	0 	-0.00339215563144535 	25.008692 	
823658828 	300000.002217228 	300000 	25.373915 	823658828 	300000.002217228 	300000 	-1.1367806000635 	0 	76.2940617278218 	0 	-0.00221722800051793 	25.373915 	
823658838 	300000.001118594 	300000 	24.970812 	823658838 	300000.001118594 	300000 	-1.02996898931451 	0 	137.3291015625 	0 	-0.00111859443131834 	24.970812 	
823658848 	300000.00015729 	300000 	25.311241 	823658848 	300000.00015729 	300000 	-0.511169782839715 	0 	900.269253179431 	0 	-0.000157290021888912 	25.311241 	
823658858 	300000.000096255 	300000 	25.094065 	823658858 	300000.000096255 	300000 	0.183105585165322 	0 	488.281482830644 	0 	-9.62548656389117E-05 	25.094065 	
823658868 	300000.000523501 	300000 	24.700741 	823658868 	300000.000523501 	300000 	0.381469959393144 	0 	-91.552734375 	0 	-0.000523501192219555 	24.700741 	
823658878 	300000.000859195 	300000 	24.475494 	823658878 	300000.000859195 	300000 	0.160217401571572 	0 	-350.952381268144 	0 	-0.000859194784425199 	24.475494 	
823658888 	300000.000843936 	300000 	25.081635 	823658888 	300000.000843936 	300000 	-0.297546590445563 	0 	-564.575660973787 	0 	-0.000843935995362699 	25.081635 	
823658898 	300000.000264102 	300000 	25.574444 	823658898 	300000.000264102 	300000 	-0.572204997297376 	0 	15.2587890625 	0 	-0.000264101603534073 	25.574444 	
823658908 	299999.999699526 	300000 	25.306278 	823658908 	299999.999699526 	300000 	-0.823975191451609 	0 	-518.799177370965 	0 	0.000300473999232054 	25.306278 	
823658918 	299999.998616151 	300000 	25.758732 	823658918 	299999.998616151 	300000 	-1.19018639088608 	0 	-213.623163290322 	0 	0.00138384877936915 	25.758732 	
823658928 	299999.997319153 	300000 	26.263945 	823658928 	299999.997319153 	300000 	-0.808716402389109 	0 	976.563198491931 	0 	0.00268084678100422 	26.263945 	
823658938 	299999.996998718 	300000 	25.817226 	823658938 	299999.996998718 	300000 	-0.0762939744163305 	0 	488.281599245965 	0 	0.00300128158414736 	25.817226 	
823658948 	299999.997166565 	300000 	25.349487 	823658948 	299999.997166565 	300000 	0.350952410371974 	0 	366.211170330644 	0 	0.00283343472983688 	25.349487 	
823658958 	299999.997700623 	300000 	25.11079 	823658958 	299999.997700623 	300000 	0.633240153547376 	0 	198.364374227822 	0 	0.00229937676340342 	25.11079 	
823658968 	299999.998433046 	300000 	25.360643 	823658968 	299999.998433046 	300000 	0.740051793400198 	0 	15.2589054778218 	0 	0.00156695442274213 	25.360643 	
823658978 	299999.999180727 	300000 	24.915207 	823658978 	299999.999180727 	300000 	0.396728806663305 	0 	-701.904878951609 	0 	0.000819273176603019 	24.915207 	
823658988 	299999.999226503 	300000 	25.217112 	823658988 	299999.999226503 	300000 	-0.312805408611894 	0 	-717.163551598787 	0 	0.000773496809415519 	25.217112 	
823658998 	299999.998555116 	300000 	25.970602 	823658998 	299999.998555116 	300000 	-0.663757789880037 	0 	15.2587890625 	0 	0.00144488399382681 	25.970602 	
823659008 	299999.997898988 	300000 	26.192329 	823659008 	299999.997898988 	300000 	-0.808716402389109 	0 	-305.176014080644 	0 	0.00210101238917559 	26.192329 	
823659018 	299999.996937683 	300000 	26.100531 	823659018 	299999.996937683 	300000 	-0.86975161684677 	0 	183.105585165322 	0 	0.00306231679860502 	26.100531 	
823659028 	299999.996159484 	300000 	26.284307 	823659028 	299999.996159484 	300000 	-0.480652204714715 	0 	595.093239098787 	0 	0.00384051562286913 	26.284307 	
823659038 	299999.995976379 	300000 	26.19998 	823659038 	299999.995976379 	300000 	0.0610352144576609 	0 	488.281599245965 	0 	0.00402362120803446 	26.19998 	
823659048 	299999.996281555 	300000 	25.48378 	823659048 	299999.996281555 	300000 	0.564575602766126 	0 	518.799177370965 	0 	0.00371844519395381 	25.48378 	
823659058 	299999.99710553 	300000 	25.269228 	823659058 	299999.99710553 	300000 	0.91552798403427 	0 	183.105585165322 	0 	0.0028944700025022 	25.269228 	
823659068 	299999.998112611 	300000 	25.467701 	823659068 	299999.998112611 	300000 	0.90789858950302 	0 	-198.364374227822 	0 	0.00188738922588527 	25.467701 	
823659078 	299999.998921327 	300000 	25.317188 	823659078 	299999.998921327 	300000 	0.526428630109876 	0 	-564.575544558465 	0 	0.00107867282349616 	25.317188 	
823659088 	299999.999165468 	300000 	25.351915 	823659088 	299999.999165468 	300000 	-0.0152587890625 	0 	-518.799293786287 	0 	0.000834531965665519 	25.351915 	
823659098 	299999.99889081 	300000 	25.796104 	823659098 	299999.99889081 	300000 	-0.480652204714715 	0 	-411.987537518144 	0 	0.00110919040162116 	25.796104 	
823659108 	299999.998204164 	300000 	26.250071 	823659108 	299999.998204164 	300000 	-0.686645973473787 	0 	0 	0 	0.00179583637509495 	26.250071 	
823659118 	299999.997517518 	300000 	26.099874 	823659118 	299999.997517518 	300000 	-0.457764021120965 	0 	457.763904705644 	0 	0.00248248234856874 	26.099874 	
823659128 	299999.997288636 	300000 	25.785458 	823659128 	299999.997288636 	300000 	-0.0839233980514109 	0 	289.917341433465 	0 	0.00271136441733688 	25.785458 	
823659138 	299999.997349671 	300000 	26.023603 	823659138 	299999.997349671 	300000 	0.213623221497983 	0 	305.175897665322 	0 	0.00265032914467156 	26.023603 	
823659148 	299999.997715882 	300000 	25.817352 	823659148 	299999.997715882 	300000 	0.572204997297376 	0 	411.987653933465 	0 	0.00228411797434092 	25.817352 	
823659158 	299999.998494081 	300000 	24.990421 	823659158 	299999.998494081 	300000 	0.90789858950302 	0 	259.399530477822 	0 	0.00150591915007681 	24.990421 	
823659168 	299999.999531679 	300000 	25.019278 	823659168 	299999.999531679 	300000 	0.89263977133669 	0 	-289.917225018144 	0 	0.000468320795334876 	25.019278 	
